Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Origin Country,Variant Price EUR,Variant Price Europe [EUR],Variant Price India [INR],Variant Price INR,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K8N0R8BDY11CQAZQHQKYY65V,allen-solly,Allen Solly Pastel Handkerchief- Pack of 6,published,Allen Solly Pastel Handkerchief- Pack of 6,Allen Solly,,http://localhost:9000/static/1761642029410-1761186551719-variation_2274_1.jpg,pcol_01K85E4ZSQDQG642QRMBXC6WRM,,2025-10-28T09:00:29.422Z,,true,,MHS09,http://localhost:9000/static/1761642029410-1761186551719-variation_2274_1.jpg,http://localhost:9000/static/1761642029411-1761186551719-variation_2274_2.jpg,http://localhost:9000/static/1761642029411-1761186551719-variation_2274_3.jpg,http://localhost:9000/static/1761642029411-1761186551719-variation_2274_5.jpg,http://localhost:9000/static/1761642029411-1761186551719-variation_2274_7.jpg,false,,,MD09,in,sc_01K8J4K5XV75MHHNB8V5CFY5YM,2025-10-28T09:37:26.768Z,,,variant_01K8N0R8CTTH928DVBQ0Y491SJ,Default variant,AZL009,,,,,true,false,,2025-10-28T09:00:29.466Z,,,,,,Default option,Default option value,,10,11,1030,1000,12,prod_01K8N0R8BDY11CQAZQHQKYY65V,2025-10-28T09:00:29.466Z,0,,
prod_01K8N5H93NWB28RWTRVB020DP7,allen-solly-socks,Allen Solly - Full Length Socks - Assorted,published,Allen Solly - Full Length Socks - Assorted,Allen Solly,,http://localhost:9000/static/1761647043691-variation_2294_1.jpg,pcol_01K85E4ZSQDQG642QRMBXC6WRM,,2025-10-28T10:24:03.702Z,,true,,,http://localhost:9000/static/1761647043691-variation_2294_1.jpg,http://localhost:9000/static/1761647043691-variation_2294_3.jpg,,,,false,,,,,sc_01K8J4K5XV75MHHNB8V5CFY5YM,2025-10-28T11:27:34.935Z,,,variant_01K8N5H951G3Y7XB4B7HST2YVQ,Default variant,AL180,,,,,true,true,,2025-10-28T10:24:03.745Z,,,,,,Default option,Default option value,,180,180,189,189,180,prod_01K8N5H93NWB28RWTRVB020DP7,2025-10-28T10:24:03.745Z,0,,
